Date,Impressions,Installations
6/12/17,65,
6/13/17,64,
6/14/17,58,
6/15/17,60,
6/16/17,48,
6/17/17,47,
6/18/17,51,
6/19/17,66,
6/20/17,55,
6/21/17,44,1
6/22/17,54,0
6/23/17,55,0
6/24/17,39,0
6/25/17,43,0
6/26/17,60,0
6/27/17,43,0
6/28/17,40,0
6/29/17,72,0
6/30/17,51,0
7/1/17,47,0
7/2/17,61,0
7/3/17,45,0
7/4/17,48,0
7/5/17,46,0
7/6/17,49,0
7/7/17,56,0
7/8/17,54,0
7/9/17,44,0
7/10/17,48,0
7/11/17,67,0
7/12/17,49,0
7/13/17,62,0
7/14/17,47,0
7/15/17,47,0
7/16/17,59,0
7/17/17,44,0
7/18/17,58,0
7/19/17,49,0
7/20/17,49,0
7/21/17,48,0
7/22/17,29,0
7/23/17,52,0
7/24/17,52,0
7/25/17,55,0
7/26/17,46,0
7/27/17,65,0
7/28/17,40,0
7/29/17,37,0
7/30/17,41,0
7/31/17,50,0
8/1/17,36,0
8/2/17,39,0
8/3/17,43,2
8/4/17,57,0
8/5/17,29,0
8/6/17,49,0
8/7/17,50,0
8/8/17,48,0
8/9/17,59,0
8/10/17,50,0
8/11/17,41,0
8/12/17,39,0
8/13/17,29,0
8/14/17,0,0
8/15/17,56,0
8/16/17,51,0
8/17/17,47,2
8/18/17,50,33
8/19/17,39,54
8/20/17,59,23
8/21/17,91,25
8/22/17,121,16
8/23/17,113,12
8/24/17,108,7
8/25/17,120,6
8/26/17,101,5
8/27/17,103,26
8/28/17,125,13
8/29/17,150,6
8/30/17,161,8
8/31/17,147,9
9/1/17,150,1
9/2/17,118,0
9/3/17,151,2
9/4/17,137,2
9/5/17,175,5
9/6/17,154,0
9/7/17,171,1
9/8/17,178,1
9/9/17,144,0
9/10/17,127,1
9/11/17,176,1
,,
TOTALS,6451,262